COLOR,COMPKEY,FEEDERDIAM,FEEDERLEN,INSTDATE,MFGKEY,OUTLSZ1,OUTLSZ2,OUTLSZ3,PRESZONE,UNITTYPE,LONGKEY,PLUGGED,NONSCHE,FZONENUM,DECLREQD,HYMARKER,Letters,FLSHFRE_DAYS
BLUE,2026.0,0.0,1.3,1984-09-14,1022,63,63,0,5,HYBLWF,N,N,N,FZ-C03,Y,Y,B,365
GREEN,2031.0,0.0,1.4,2008-11-20 09:13:00,1022,63,63,0,6,HYBLWF,N,N,N,FZ-C01,Y,Y,B,365
ORANGE,3865.0,0.0,2.0,2005-02-28 10:49:00,1022,63,150,63,5,HYBLWF,N,Y,N,FZ-C01,Y,N,B,365
BLUE,3885.0,0.0,3.5,2008-10-23 08:42:00,1012,63,150,63,6,HYBLWF,N,N,N,FZ-C01,Y,Y,B,365
GREEN,3463.0,0.0,1.0,2008-10-30 11:33:00,1012,63,150,63,5,HYBLWF,N,N,N,FZ-C02,N,N,B,365
BLUE,3474.0,0.0,1.0,1989-03-01,1022,63,150,63,5,HYBLWF,N,N,N,FZ-C02,N,Y,B,365
BLUE,3480.0,0.0,1.2,1984-08-01,1022,63,150,63,6,HYBLWF,N,N,N,FZ-C01,N,Y,B,365
BLUE,3482.0,0.0,1.2,2008-08-29 11:00:00,1022,63,150,63,6,HYBLWF,N,N,N,FZ-C01,Y,N,B,365
BLUE,3483.0,0.0,1.2,2007-12-20 23:00:00,1022,63,63,0,6,HYBLWF,N,N,N,FZ-C03,N,y,B,365
BLUE,3484.0,0.0,1.2,2008-10-21 08:01:00,1022,63,63,0,6,HYBLWF,N,N,N,FZ-C03,N,y,B,365
ORANGE,2054.0,0.0,1.2,2008-10-22 09:04:00,1012,63,150,63,6,HYBLWF,N,N,N,FZ-C01,N,N,B,365
BLUE,2062.0,0.0,1.2,1990-12-01,1009,63,150,63,6,HYBLWF,N,N,N,FZ-C01,N,y,B,365
BLUE,2823.0,0.0,1.5,2008-10-31 08:25:00,1009,63,150,63,6,HYBLWF,N,N,N,FZ-C01,Y,N,B,365
BLUE,2824.0,0.0,1.2,2008-10-17 15:38:00,1022,63,150,63,6,HYBLWF,N,N,N,FZ-C01,N,Y,B,365
GREEN,2233.0,0.0,3.0,2008-05-01 12:09:00,1012,63,150,63,6,HYBLWF,N,N,N,FZ-C01,N,N,B,365
BLUE,7301.0,0.0,2.0,2008-06-20 10:57:00,1022,63,150,63,5,HYBLWF,N,N,N,FZ-C03,Y,y,B,365
BLUE,7306.0,0.0,1.6,2008-09-24 10:52:00,1022,63,150,63,6,HYBLWF,N,N,N,FZ-C01,Y,N,B,365
BLUE,4692.0,0.0,1.2,2008-09-05 08:40:00,1009,63,150,63,6,HYBLWF,N,N,N,FZ-C01,N,N,B,365
BLUE,7484.0,0.0,1.1,1986-02-20,1022,63,150,63,6,HYBLWF,N,N,N,FZ-C01,N,Y,B,365
GREEN,7505.0,0.0,1.4,2008-10-02 10:53:00,1022,63,150,63,6,HYBLWF,N,N,N,FZ-C01,Y,N,B,365
BLUE,6877.0,0.0,2.2,2008-10-02 10:26:00,1009,63,150,63,5,HYBLWF,N,N,N,FZ-C02,N,Y,B,365
BLUE,6880.0,0.0,1.0,2008-07-07 13:24:00,1022,63,63,0,4,HYBLWF,N,N,N,FZ-C03,N,N,S,365
